분석아이디,학교명,위도,경도,위험지역 사유,기타 상세 사유,행위 구분,데이터기준일자
6074,도남초등학교,33.49275435,126.5281053,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,등교,2021-01-25
6074,도남초등학교,33.49021361,126.5297547,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6074,도남초등학교,33.49099668,126.5282225,차가 다니는 길가로만 다닐 수 있음,해당없음,하교,2021-01-25
6075,대정초등학교,33.22464731,126.2561367,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,등교,2021-01-25
6075,대정초등학교,33.22370249,126.2549432,횡단보도가 적어서 많이 돌아가야 함,해당없음,등교,2021-01-25
6076,대정초등학교,33.22345584,126.2532799,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,등교,2021-01-25
6076,대정초등학교,33.22579006,126.2531206,위험한 곳이라는 안내시설이 없음,해당없음,활동,2021-01-25
6078,대정초등학교,33.22552175,126.2576258,횡단보도 초록불 신호가 너무 짧음,해당없음,활동,2021-01-25
6079,대정서초등학교,33.22789292,126.2437668,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,등교,2021-01-25
6079,대정서초등학교,33.22723045,126.2445449,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6079,대정서초등학교,33.22635473,126.2458398,신호등이 없음,해당없음,하교,2021-01-25
6079,대정서초등학교,33.22965736,126.2403616,인도에 차가 서 있음,해당없음,등교,2021-01-25
6079,대정서초등학교,33.23114347,126.2386322,인도에 차가 서 있음,해당없음,등교,2021-01-25
6079,대정서초등학교,33.22871126,126.241936,차가 다니는 길가로만 다닐 수 있음,해당없음,하교,2021-01-25
6080,광양초등학교,33.50319904,126.5304109,길 주변에 깨진 병 조각 같은 위험한 물건이 많음,해당없음,등교,2021-01-25
6081,대정초등학교,33.2269704,126.2556235,신호등이 없음,해당없음,하교,2021-01-25
6081,대정초등학교,33.22657393,126.2556644,인도에 차가 서 있음,해당없음,하교,2021-01-25
6082,고산초등학교,33.30569357,126.1782533,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,하교,2021-01-25
6082,고산초등학교,33.30584314,126.1790572,신호등이 없음,해당없음,등교,2021-01-25
6082,고산초등학교,33.30460086,126.179348,횡단보도 초록불 신호가 너무 짧음,해당없음,등교,2021-01-25
6082,고산초등학교,33.30570231,126.1768493,횡단보도 초록불 신호가 너무 짧음,해당없음,활동,2021-01-25
6083,고산초등학교,33.30564484,126.1790644,인도에 차가 서 있음,해당없음,등교,2021-01-25
6084,강정초등학교,33.2365039,126.4797948,신호등이 없음,해당없음,등교,2021-01-25
6084,강정초등학교,33.23719958,126.480134,신호등이 없음,해당없음,활동,2021-01-25
6084,강정초등학교,33.23645707,126.4793766,인도에 차가 서 있음,해당없음,하교,2021-01-25
6084,강정초등학교,33.23608521,126.4788531,인도에 차가 서 있음,해당없음,하교,2021-01-25
6086,대정초등학교,33.22404065,126.2572145,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,하교,2021-01-25
6086,대정초등학교,33.22363665,126.255995,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,등교,2021-01-25
6087,무릉초등학교,33.27099066,126.2034725,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,등교,2021-01-25
6088,무릉초등학교,33.27163488,126.2012986,신호등이 없음,해당없음,등교,2021-01-25
6089,보성초등학교,33.24979362,126.2770266,신호등이 없음,해당없음,등교,2021-01-25
6089,보성초등학교,33.24977521,126.2769624,신호등이 없음,해당없음,등교,2021-01-25
6090,무릉초등학교,33.27063431,126.2029109,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,등교,2021-01-25
6090,무릉초등학교,33.27052805,126.2032124,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6092,보성초등학교,33.25723386,126.2748445,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6092,보성초등학교,33.25593497,126.274748,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6092,보성초등학교,33.25463609,126.2746514,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6092,보성초등학교,33.25373352,126.2744871,차가 다니는 길가로만 다닐 수 있음,해당없음,하교,2021-01-25
6092,보성초등학교,33.2525268,126.2747332,차가 다니는 길가로만 다닐 수 있음,해당없음,하교,2021-01-25
6092,보성초등학교,33.25126035,126.274014,차가 다니는 길가로만 다닐 수 있음,해당없음,하교,2021-01-25
6093,보성초등학교,33.24784139,126.2775671,횡단보도 초록불 신호가 너무 짧음,해당없음,등교,2021-01-25
6094,보성초등학교,33.25283811,126.2713075,신호등이 없음,해당없음,등교,2021-01-25
6096,보성초등학교,33.26989358,126.2785233,신호등이 없음,해당없음,등교,2021-01-25
